"Дата"",""Цена"",""Откр"",""Макс"",""Мин"",""Изм. %"""
"31.08.2021"",""1.3754"",""1.3761"",""1.3807"",""1.3742"",""-0,03%"""
"30.08.2021"",""1.3758"",""1.3758"",""1.3776"",""1.3734"",""0,01%"""
"27.08.2021"",""1.3757"",""1.3698"",""1.3781"",""1.3679"",""0,42%"""
"26.08.2021"",""1.3699"",""1.3761"",""1.3770"",""1.3688"",""-0,44%"""
"25.08.2021"",""1.3759"",""1.3729"",""1.3767"",""1.3697"",""0,23%"""
"24.08.2021"",""1.3727"",""1.3717"",""1.3749"",""1.3693"",""0,07%"""
"23.08.2021"",""1.3717"",""1.3633"",""1.3734"",""1.3613"",""0,70%"""
"20.08.2021"",""1.3621"",""1.3642"",""1.3649"",""1.3601"",""-0,12%"""
"19.08.2021"",""1.3638"",""1.3757"",""1.3760"",""1.3632"",""-0,85%"""
"18.08.2021"",""1.3755"",""1.3741"",""1.3786"",""1.3727"",""0,12%"""
"17.08.2021"",""1.3739"",""1.3850"",""1.3855"",""1.3726"",""-0,80%"""
"16.08.2021"",""1.3850"",""1.3839"",""1.3879"",""1.3828"",""-0,09%"""
"13.08.2021"",""1.3863"",""1.3809"",""1.3876"",""1.3791"",""0,43%"""
"12.08.2021"",""1.3804"",""1.3873"",""1.3879"",""1.3794"",""-0,49%"""
"11.08.2021"",""1.3872"",""1.3845"",""1.3888"",""1.3802"",""0,21%"""
"10.08.2021"",""1.3843"",""1.3846"",""1.3873"",""1.3827"",""-0,01%"""
"09.08.2021"",""1.3844"",""1.3880"",""1.3895"",""1.3841"",""-0,19%"""
"06.08.2021"",""1.3871"",""1.3930"",""1.3937"",""1.3860"",""-0,41%"""
"05.08.2021"",""1.3928"",""1.3889"",""1.3950"",""1.3872"",""0,31%"""
"04.08.2021"",""1.3885"",""1.3916"",""1.3958"",""1.3885"",""-0,21%"""
"03.08.2021"",""1.3914"",""1.3883"",""1.3939"",""1.3879"",""0,24%"""
"02.08.2021"",""1.3881"",""1.3901"",""1.3934"",""1.3875"",""-0,14%"""
"30.07.2021"",""1.3901"",""1.3961"",""1.3985"",""1.3887"",""-0,43%"""
"29.07.2021"",""1.3961"",""1.3900"",""1.3983"",""1.3895"",""0,45%"""
"28.07.2021"",""1.3898"",""1.3881"",""1.3911"",""1.3844"",""0,17%"""
"27.07.2021"",""1.3874"",""1.3818"",""1.3895"",""1.3766"",""0,42%"""
"26.07.2021"",""1.3816"",""1.3754"",""1.3835"",""1.3736"",""0,52%"""
"23.07.2021"",""1.3745"",""1.3767"",""1.3781"",""1.3720"",""-0,13%"""
"22.07.2021"",""1.3763"",""1.3714"",""1.3787"",""1.3690"",""0,39%"""
"21.07.2021"",""1.3710"",""1.3629"",""1.3724"",""1.3591"",""0,62%"""
"20.07.2021"",""1.3626"",""1.3678"",""1.3690"",""1.3571"",""-0,34%"""
"19.07.2021"",""1.3672"",""1.3787"",""1.3787"",""1.3655"",""-0,73%"""
"16.07.2021"",""1.3772"",""1.3830"",""1.3863"",""1.3759"",""-0,40%"""
"15.07.2021"",""1.3828"",""1.3858"",""1.3900"",""1.3805"",""-0,20%"""
"14.07.2021"",""1.3856"",""1.3814"",""1.3893"",""1.3801"",""0,35%"""
"13.07.2021"",""1.3808"",""1.3885"",""1.3907"",""1.3800"",""-0,52%"""
"12.07.2021"",""1.3880"",""1.3902"",""1.3911"",""1.3838"",""-0,14%"""
"09.07.2021"",""1.3899"",""1.3788"",""1.3909"",""1.3756"",""0,83%"""
"08.07.2021"",""1.3785"",""1.3801"",""1.3807"",""1.3741"",""-0,11%"""
"07.07.2021"",""1.3800"",""1.3801"",""1.3843"",""1.3754"",""0,01%"""
"06.07.2021"",""1.3799"",""1.3844"",""1.3900"",""1.3772"",""-0,33%"""
"05.07.2021"",""1.3845"",""1.3822"",""1.3863"",""1.3817"",""0,17%"""
"02.07.2021"",""1.3821"",""1.3769"",""1.3845"",""1.3732"",""0,39%"""
"01.07.2021"",""1.3767"",""1.3829"",""1.3836"",""1.3752"",""-0,43%"""
"30.06.2021"",""1.3827"",""1.3839"",""1.3873"",""1.3798"",""-0,06%"""
"29.06.2021"",""1.3835"",""1.3885"",""1.3888"",""1.3814"",""-0,35%"""
"28.06.2021"",""1.3883"",""1.3884"",""1.3941"",""1.3870"",""0,04%"""
"25.06.2021"",""1.3877"",""1.3923"",""1.3937"",""1.3871"",""-0,32%"""
"24.06.2021"",""1.3922"",""1.3963"",""1.3987"",""1.3889"",""-0,27%"""
"23.06.2021"",""1.3959"",""1.3948"",""1.4002"",""1.3923"",""0,09%"""
"22.06.2021"",""1.3947"",""1.3931"",""1.3965"",""1.3860"",""0,13%"""
"21.06.2021"",""1.3929"",""1.3811"",""1.3937"",""1.3786"",""0,87%"""
"18.06.2021"",""1.3809"",""1.3921"",""1.3945"",""1.3792"",""-0,79%"""
"17.06.2021"",""1.3919"",""1.3988"",""1.4009"",""1.3895"",""-0,49%"""
"16.06.2021"",""1.3987"",""1.4081"",""1.4133"",""1.3981"",""-0,66%"""
"15.06.2021"",""1.4080"",""1.4114"",""1.4130"",""1.4033"",""-0,23%"""
"14.06.2021"",""1.4112"",""1.4119"",""1.4124"",""1.4069"",""0,04%"""
"11.06.2021"",""1.4106"",""1.4177"",""1.4187"",""1.4095"",""-0,47%"""
"10.06.2021"",""1.4173"",""1.4121"",""1.4180"",""1.4073"",""0,39%"""
"09.06.2021"",""1.4118"",""1.4159"",""1.4191"",""1.4109"",""-0,26%"""
"08.06.2021"",""1.4155"",""1.4183"",""1.4187"",""1.4121"",""-0,16%"""
"07.06.2021"",""1.4178"",""1.4171"",""1.4191"",""1.4111"",""0,17%"""
"04.06.2021"",""1.4154"",""1.4105"",""1.4202"",""1.4082"",""0,36%"""
"03.06.2021"",""1.4103"",""1.4171"",""1.4203"",""1.4087"",""-0,46%"""
"02.06.2021"",""1.4168"",""1.4153"",""1.4184"",""1.4111"",""0,16%"""
"01.06.2021"",""1.4146"",""1.4213"",""1.4250"",""1.4146"",""-0,44%"""
